name,planet_status,mass,radius,orbital_period,angular_distance,discovered,temp_measured,publication,detection_type,mass_detection_type,radius_detection_type,alternate_names,star_name,ra,dec,mag_v,mag_i,mag_j,mag_h,mag_k,star_distance,star_mass,star_radius,star_age,star_alternate_names
55 Cnc e,Confirmed,0.02703,0.1737,0.7365478,0.001264,2004,,Published in a refereed paper,Primary Transit,Radial Velocity,Primary Transit,"TOI-1773 e, HD 75732 e",55 Cnc,133.1541667,28.3338889,5.95,,,,,12.34,1.015,0.98,10.2,TOI-1773
BD+20 594 b,Confirmed,0.07,0.23,41.6855,,2016,,Published in a refereed paper,Primary Transit,Radial Velocity,Primary Transit,"2MASS J03343623+2035574 b, EPIC 210848071 b, EPIC 210848071.01, K2-56 b, TYC 1242-608-1 b, WISE J033436.26+203556.7 b",BD+20 594,53.650967,20.599232,11.0,,9.77,9.432,,180.39,1.67,1.08,3.34,"2MASS 03343623+2035574, 2MASS J03343623+2035574, EPIC 210848071, K2-56, TYC 1242-608-1, WISE J033436.26+203556.7"
CoRoT-32 b,Confirmed,0.15,0.57,6.71837,,2017,,Published in a refereed paper,Primary Transit,Radial Velocity,Primary Transit,,CoRoT-32,100.195833349,9.257500011,14.0,,,,,,1.09,0.79,,CoRoT-223977153
CoRoT-33 b,Confirmed,59.2,1.1,5.819143,,2015,,Published in a refereed paper,Primary Transit,Radial Velocity,Primary Transit,,CoRoT-33,279.641666678,5.624722241,14.7,,,,,,0.86,0.94,4.6,"2MASS 18383391 + 0537287, USNO-A2 0900-13338694"
EPIC 211945201 b,Confirmed,0.085,0.514,19.49221,,2018,,Published in a refereed paper,Primary Transit,Radial Velocity,Primary Transit,"2MASS J09061775+1924080 b, EPIC 211945201.01, K2-236 b, TYC 1404-1186-1 b, WISE J090617.78+192407.6 b",EPIC 211945201,136.573975,19.402252,10.15,,9.144,8.908,,182.69,1.17,1.39,3.99,"2MASS J09061775+1924080, K2-236, TYC 1404-1186-1, WISE J090617.78+192407.6"
EPIC 212036875 b,Confirmed,51.0,0.83,5.16992,,2019,,Published in a refereed paper,Primary Transit,Radial Velocity,Primary Transit,EPIC 212036875 b,EPIC 212036875,134.691666682,20.869166686,11.0,,,,,,1.1241,1.4,4.6,EP212
EPIC 212737443 b,Confirmed,0.02907,0.231,13.603,,2019,,Published in a refereed paper,Primary Transit,Theoretical,Primary Transit,"2MASS J13365320-0719053 b, EPIC 212737443.01, K2-310 b, WISE J133653.17-071905.1 b",EPIC 212737443,204.221695,-7.318144,14.8,13.626,12.824,12.239,,347.45,0.69,0.67,,"2MASS J13365320-0719053, K2-310, WISE J133653.17-071905.1"
EPIC 212737443 c,Confirmed,0.0303,0.24,65.55,,2019,,Published in a refereed paper,Primary Transit,Theoretical,Primary Transit,,EPIC 212737443,204.221695,-7.318144,14.8,13.626,12.824,12.239,,347.45,0.69,0.67,,"2MASS J13365320-0719053, K2-310, WISE J133653.17-071905.1"
EPIC 219388192 b,Confirmed,36.0,0.846,5.292569,,2016,,Published in a refereed paper,Primary Transit,Radial Velocity,Primary Transit,CWW 89A b,EPIC 219388192,289.391666678,-16.871666688,12.5,,,,,300.0,0.99,1.01,3.9,"2MASS J19173402-1652177, CWW 89A"
K2-106 b,Confirmed,0.0263,0.162,0.571331,,2016,,Published in a refereed paper,Primary Transit,Radial Velocity,Primary Transit,"EPIC 220674823 b, 2MASS J00521914+1047409 b, EPIC 220674823.01, TYC 608-458-1 b, WISE J005219.18+104740.9 b",EPIC 220674823,13.07978,10.794699,12.1,,10.77,10.454,,246.1,0.97,0.98,5.0,"K2-106, TYC 608-458-1, 2MASS J00521914+1047409, WISE J005219.18+104740.9"
K2-106 c,Confirmed,0.018,0.244,13.339079,,2016,,Published in a refereed paper,Primary Transit,Radial Velocity,Primary Transit,"2MASS J00521914+1047409 c, EPIC 220674823.02, TYC 608-458-1 c, WISE J005219.18+104740.9 c, EPIC 220674823 c",EPIC 220674823,13.07978,10.794699,12.1,,10.77,10.454,,246.1,0.97,0.98,5.0,"K2-106, TYC 608-458-1, 2MASS J00521914+1047409, WISE J005219.18+104740.9"
EPIC 246851721 b,Confirmed,3.0,1.051,6.180235,,2018,,Published in a refereed paper,Primary Transit,Radial Velocity,Primary Transit,,EPIC 246851721,78.9197500136,16.2787416817,11.4,,,,,376.0,1.324,1.624,3.09,"TYC 1283-739-1, 2MASS J05154075+1616435"
G 9-40 b,Confirmed,0.013,0.17,5.7459982,,2019,,Published in a refereed paper,Primary Transit,Radial Velocity,Primary Transit,"2MASS J08585232+2104344 b, EPIC 212048748 b, EPIC 212048748.01, K2-313 b, LSPM J0858+2104 b, TIC 203214081 b, WISE J085852.46+210430.8 b",G 9-40,134.718109,21.076048,13.8,,10.058,9.433,,27.93,0.29,0.31,9.9,"2MASS J08585232+2104344, EPIC 212048748, K2-313, LSPM J0858+2104, TIC 203214081, WISE J085852.46+210430.8"
Gaia-1 b,Confirmed,1.68,1.229,3.042524,,2021,,Published in a refereed paper,Primary Transit,Radial Velocity,Primary Transit,"Gaia EDR3 3026325426682637824 b, TIC 11755687 b",Gaia-1,90.6436666838,-0.5771154808,13.2,,,,,368.3,0.93,0.962,,EDR3 3026325426682637824
Gaia-2 b,Confirmed,0.773,1.327,3.6915237,,2021,,Published in a refereed paper,Primary Transit,Radial Velocity,Primary Transit,"Gaia EDR3 1107980654748582144 b, TIC 147797743",Gaia-2,110.735333173,67.2526599247,11.3,,,,,207.2,1.0,1.064,,EDR3 1107980654748582144
GJ 143 b,Confirmed,0.0714,0.2329,35.61253,,2018,,Published in a refereed paper,Primary Transit,Radial Velocity,Primary Transit,HD 21749 b,GJ 143,51.745833353,-63.499166689,8.3,,,,,16.33,0.76,0.73,3.8,"HD 21749, TOI-186"
GJ 143 c,Confirmed,0.01164,0.07958,7.78993,,2018,,Published in a refereed paper,Primary Transit,,Primary Transit,"TOI  186.02, HD 21749 c",GJ 143,51.745833353,-63.499166689,8.3,,,,,16.33,0.76,0.73,3.8,"HD 21749, TOI-186"
